layer,anchor,target,probe_type,r2,mae,n,accuracy,n_classes
embeddings,ans,total_count,ridge,0.9999999999999002,1.1287343319142662e-06,2048,,
embeddings,ans,total_count,logistic,,,2048,1.0,16.0
embeddings,source_marker,total_count,ridge,-0.002053657755858307,3.019688196229201,15360,,
embeddings,source_marker,total_count,logistic,,,15360,0.10703125,15.0
embeddings,source_marker,running_count,ridge,0.5775558248371131,1.8034961068565318,15360,,
embeddings,source_marker,running_count,logistic,,,15360,0.23229166666666667,15.0
embeddings,source_marker,trace_k,ridge,0.5775558248371131,1.8034961068565318,15360,,
embeddings,source_marker,trace_k,logistic,,,15360,0.23229166666666667,15.0
embeddings,source_marker,is_marker,logistic,,,15360,,1.0
embeddings,think_close,total_count,ridge,0.9999999999997693,1.9126257315722067e-06,2048,,
embeddings,think_close,total_count,logistic,,,2048,1.0,16.0
embeddings,think_open,total_count,ridge,-0.001196363695497249,4.0460255940755205,2048,,
embeddings,think_open,total_count,logistic,,,2048,0.0625,16.0
embeddings,trace_index,total_count,ridge,0.24549895048386805,2.535885094669983,15360,,
embeddings,trace_index,total_count,logistic,,,15360,0.10364583333333334,15.0
embeddings,trace_index,trace_k,ridge,0.9999999999807714,1.3507605395803498e-05,15360,,
embeddings,trace_index,trace_k,logistic,,,15360,1.0,15.0
embeddings,trace_marker,total_count,ridge,0.24460292200406708,2.538246700435559,15360,,
embeddings,trace_marker,total_count,logistic,,,15360,0.10911458333333333,15.0
embeddings,trace_marker,trace_k,ridge,0.9999999999990319,3.1905306586236617e-06,15360,,
embeddings,trace_marker,trace_k,logistic,,,15360,1.0,15.0
layer_1,ans,total_count,ridge,0.9999960250546918,0.007367442875730294,2048,,
layer_1,ans,total_count,logistic,,,2048,1.0,16.0
layer_1,source_marker,total_count,ridge,0.6419500310781986,1.5803493709577106,15360,,
layer_1,source_marker,total_count,logistic,,,15360,0.2794270833333333,15.0
layer_1,source_marker,running_count,ridge,0.9997378026388125,0.0449700439041445,15360,,
layer_1,source_marker,running_count,logistic,,,15360,0.9989583333333333,15.0
layer_1,source_marker,trace_k,ridge,0.9997378026388125,0.0449700439041445,15360,,
layer_1,source_marker,trace_k,logistic,,,15360,0.9989583333333333,15.0
layer_1,source_marker,is_marker,logistic,,,15360,,1.0
layer_1,think_close,total_count,ridge,0.99999348111281,0.009163923571095566,2048,,
layer_1,think_close,total_count,logistic,,,2048,1.0,16.0
layer_1,think_open,total_count,ridge,0.9999669666115696,0.02107723490045145,2048,,
layer_1,think_open,total_count,logistic,,,2048,0.998046875,16.0
layer_1,trace_index,total_count,ridge,0.9993863748875971,0.0689567575237231,15360,,
layer_1,trace_index,total_count,logistic,,,15360,0.9901041666666667,15.0
layer_1,trace_index,trace_k,ridge,0.9999969287211506,0.004959820630902218,15360,,
layer_1,trace_index,trace_k,logistic,,,15360,1.0,15.0
layer_1,trace_marker,total_count,ridge,0.9994305596031313,0.06780411744313221,15360,,
layer_1,trace_marker,total_count,logistic,,,15360,1.0,15.0
layer_1,trace_marker,trace_k,ridge,0.9999175721199595,0.025931739521152273,15360,,
layer_1,trace_marker,trace_k,logistic,,,15360,1.0,15.0
layer_2,ans,total_count,ridge,0.9999885635026579,0.012408121228035264,2048,,
layer_2,ans,total_count,logistic,,,2048,1.0,16.0
layer_2,source_marker,total_count,ridge,0.642735732086876,1.5777042941049788,15360,,
layer_2,source_marker,total_count,logistic,,,15360,0.28046875,15.0
layer_2,source_marker,running_count,ridge,0.9999020404919441,0.027924051155714346,15360,,
layer_2,source_marker,running_count,logistic,,,15360,1.0,15.0
layer_2,source_marker,trace_k,ridge,0.9999020404919441,0.027924051155714346,15360,,
layer_2,source_marker,trace_k,logistic,,,15360,1.0,15.0
layer_2,source_marker,is_marker,logistic,,,15360,,1.0
layer_2,think_close,total_count,ridge,0.9999929240180423,0.00981470681782505,2048,,
layer_2,think_close,total_count,logistic,,,2048,1.0,16.0
layer_2,think_open,total_count,ridge,0.9999769061523078,0.017527695314056325,2048,,
layer_2,think_open,total_count,logistic,,,2048,0.99609375,16.0
layer_2,trace_index,total_count,ridge,0.9997607886146663,0.04306524716875082,15360,,
layer_2,trace_index,total_count,logistic,,,15360,0.99140625,15.0
layer_2,trace_index,trace_k,ridge,0.9999933760714912,0.007355528870182282,15360,,
layer_2,trace_index,trace_k,logistic,,,15360,1.0,15.0
layer_2,trace_marker,total_count,ridge,0.9998746902042326,0.032038780134800264,15360,,
layer_2,trace_marker,total_count,logistic,,,15360,1.0,15.0
layer_2,trace_marker,trace_k,ridge,0.9999393406536322,0.02240777941408067,15360,,
layer_2,trace_marker,trace_k,logistic,,,15360,1.0,15.0
layer_3,ans,total_count,ridge,0.9999848720700685,0.014217106767383485,2048,,
layer_3,ans,total_count,logistic,,,2048,1.0,16.0
layer_3,source_marker,total_count,ridge,0.6428605873041013,1.574630972056286,15360,,
layer_3,source_marker,total_count,logistic,,,15360,0.27005208333333336,15.0
layer_3,source_marker,running_count,ridge,0.9999419391706681,0.021448678275022545,15360,,
layer_3,source_marker,running_count,logistic,,,15360,1.0,15.0
layer_3,source_marker,trace_k,ridge,0.9999419391706681,0.021448678275022545,15360,,
layer_3,source_marker,trace_k,logistic,,,15360,1.0,15.0
layer_3,source_marker,is_marker,logistic,,,15360,,1.0
layer_3,think_close,total_count,ridge,0.9999931492418475,0.00964095516414331,2048,,
layer_3,think_close,total_count,logistic,,,2048,1.0,16.0
layer_3,think_open,total_count,ridge,0.9999814972159222,0.01597575150057791,2048,,
layer_3,think_open,total_count,logistic,,,2048,1.0,16.0
layer_3,trace_index,total_count,ridge,0.999790138621207,0.04077039962731973,15360,,
layer_3,trace_index,total_count,logistic,,,15360,0.9682291666666667,15.0
layer_3,trace_index,trace_k,ridge,0.9999916104338581,0.008249503364450522,15360,,
layer_3,trace_index,trace_k,logistic,,,15360,1.0,15.0
layer_3,trace_marker,total_count,ridge,0.999831459224788,0.03692029077108765,15360,,
layer_3,trace_marker,total_count,logistic,,,15360,1.0,15.0
layer_3,trace_marker,trace_k,ridge,0.9999336011034625,0.023438444417643586,15360,,
layer_3,trace_marker,trace_k,logistic,,,15360,1.0,15.0
layer_4,ans,total_count,ridge,0.9999086641310511,0.03400236942583769,2048,,
layer_4,ans,total_count,logistic,,,2048,1.0,16.0
layer_4,source_marker,total_count,ridge,0.6306912988649814,1.6241476093299003,15360,,
layer_4,source_marker,total_count,logistic,,,15360,0.27395833333333336,15.0
layer_4,source_marker,running_count,ridge,0.9961698516119669,0.17167075562085204,15360,,
layer_4,source_marker,running_count,logistic,,,15360,1.0,15.0
layer_4,source_marker,trace_k,ridge,0.9961698516119669,0.17167075562085204,15360,,
layer_4,source_marker,trace_k,logistic,,,15360,1.0,15.0
layer_4,source_marker,is_marker,logistic,,,15360,,1.0
layer_4,think_close,total_count,ridge,0.9999690170720879,0.020758891746055642,2048,,
layer_4,think_close,total_count,logistic,,,2048,1.0,16.0
layer_4,think_open,total_count,ridge,0.9999144542166335,0.03383351837708555,2048,,
layer_4,think_open,total_count,logistic,,,2048,0.994140625,16.0
layer_4,trace_index,total_count,ridge,0.9857506796311746,0.3415355030908868,15360,,
layer_4,trace_index,total_count,logistic,,,15360,0.5890625,15.0
layer_4,trace_index,trace_k,ridge,0.9918318318414612,0.25914634796192915,15360,,
layer_4,trace_index,trace_k,logistic,,,15360,1.0,15.0
layer_4,trace_marker,total_count,ridge,0.9884897381547368,0.3009436332293711,15360,,
layer_4,trace_marker,total_count,logistic,,,15360,0.95234375,15.0
layer_4,trace_marker,trace_k,ridge,0.9985728974492416,0.10633680254862934,15360,,
layer_4,trace_marker,trace_k,logistic,,,15360,1.0,15.0
