scope,layer,metric,eligible_pairs,eligible_prompts,self,donor,orthogonal,donor_minus_orth_pp_95CI
item_end_w1,1,donor_marker_adoption,26,8,0.06666666666666667,0.44999999999999996,0.3208333333333333,"12.92 [2.50, 27.08]"
item_end_w1,1,donor_continuation_adoption,37,8,0.07083333333333333,0.47291666666666665,0.3326388888888889,"14.03 [2.08, 27.92]"
item_end_w1,1,donor_prefix_h2,30,8,0.05625,0.39375,0.15833333333333333,"23.54 [2.71, 49.38]"
item_end_w1,1,donor_prefix_h3,26,8,0.03125,0.21875,0.125,"9.38 [-9.38, 37.50]"
item_end_w1,1,donor_prefix_h4,20,8,0.041666666666666664,0.16666666666666666,0.041666666666666664,"12.50 [0.00, 37.50]"
item_span_w2,1,donor_marker_adoption,26,8,0.06666666666666667,0.44999999999999996,0.2895833333333333,"16.04 [4.17, 28.96]"
item_span_w2,1,donor_continuation_adoption,37,8,0.07083333333333333,0.47291666666666665,0.29791666666666666,"17.50 [4.17, 31.25]"
item_span_w2,1,donor_prefix_h2,30,8,0.05625,0.39375,0.13333333333333333,"26.04 [4.17, 52.08]"
item_span_w2,1,donor_prefix_h3,26,8,0.03125,0.21875,0.125,"9.38 [-9.38, 37.50]"
item_span_w2,1,donor_prefix_h4,20,8,0.041666666666666664,0.16666666666666666,0.041666666666666664,"12.50 [0.00, 37.50]"
